,,longName,L.Year,Today,risk_score,news_overall,avg_news_pos,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
SMH,0,VanEck Semiconductor ETF,118.07,220.98,24.64,mostly neutral,3.16,0.5,Neutral,Upward,0.04,87.16,85.9,76.43,0.97,1.06,0.89,10404833.33,0.25,10.14,Uptrend,Bear,22.364358182620204,2236.4358182620203
BDRY,0,Breakwave Dry Bulk Shipping ETF,10.26,16.04,2.91,mostly neutral,0.61,0.1,Overbought - Potential Reversal,Upward,0.34,56.34,83.11,69.02,0.92,1.05,0.78,194560.0,0.35,9.5,Uptrend,Bear,20.95280105866784,2095.280105866784
URNM,0,North Shore Global Uranium Mining ETF,29.52,48.09,8.75,mostly neutral,2.48,0.5,Neutral,Downward,0.11,62.91,68.81,68.24,1.02,1.08,0.98,885086.67,-0.1,8.72,Downtrend,Bear,19.232465813850904,1923.2465813850904
SOXX,0,iShares Semiconductor ETF,131.25,225.1,23.27,mostly neutral,1.67,0.5,Neutral,Upward,0.04,71.51,71.92,62.87,0.97,1.06,0.91,5497106.67,0.21,8.49,Uptrend,Bear,18.725187472430523,1872.5187472430523
ARKW,0,ARK Next Generation Internet ETF,47.78,82.59,9.54,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.1,72.85,74.2,61.94,0.95,1.0,0.88,253666.67,0.25,8.49,Uptrend,Bull,18.725187472430523,1872.5187472430523
IGM,0,iShares Expanded Tech Sector ETF,49.67,84.91,8.77,mixed,0.0,0.5,Neutral,Upward,0.11,70.96,59.7,61.71,0.99,1.03,0.94,276440.0,0.15,7.81,Uptrend,Bear,,
XHB,0,SPDR S&P Homebuilders ETF,64.63,103.82,10.9,mostly neutral,0.71,0.1,Overbought - Potential Reversal,Upward,0.09,60.64,52.45,60.36,0.99,1.02,0.95,2189146.67,0.25,7.31,Uptrend,Bear,,
QTEC,0,First Trust NASDAQ-100-Technology Sector Index Fund,118.24,189.83,20.12,mixed,0.0,0.5,Neutral,Upward,0.05,60.54,59.84,53.96,1.0,1.03,0.96,136293.33,0.1,7.26,Uptrend,Bear,,
ITB,0,iShares U.S. Home Construction ETF,66.13,108.92,11.67,mostly neutral,0.58,0.1,Overbought - Potential Reversal,Upward,0.09,64.72,48.22,62.25,0.98,1.02,0.94,1657333.33,0.23,7.22,Uptrend,Bear,,
URA,0,Global X Uranium ETF,18.54,28.04,4.02,mixed,0.0,0.5,Neutral,Downward,0.25,51.26,54.64,55.61,1.0,1.05,0.96,3755853.33,-0.06,7.15,Uptrend,Bear,,
SKYY,0,First Trust Cloud Computing ETF,60.33,94.97,9.27,mixed,0.0,0.5,Neutral,Upward,0.11,57.42,53.62,51.49,0.99,1.02,0.94,190860.0,0.08,6.78,Uptrend,Bear,,
FTXL,0,First Trust Nasdaq Semiconductor ETF,59.37,90.71,8.2,mostly neutral,2.34,0.5,Neutral,Upward,0.12,52.78,56.19,47.81,0.97,1.05,0.92,42833.33,0.19,6.67,Uptrend,Bear,,
IYW,0,iShares U.S. Technology ETF,82.87,132.95,12.81,mixed,0.0,0.5,Neutral,Upward,0.08,60.42,50.43,50.75,1.0,1.02,0.97,650766.67,0.07,6.57,Uptrend,Bear,,
IGV,0,iShares Expanded Tech-Software Sector ETF,54.76,85.16,8.66,mixed,0.0,0.5,Neutral,Downward,0.12,55.51,46.96,49.13,1.0,1.02,0.96,3567086.67,0.02,6.28,Uptrend,Bear,,
AIQ,0,Global X Artificial Intelligence & Technology ETF,21.97,33.55,2.89,mixed,0.0,0.5,Neutral,Upward,0.35,52.69,46.56,45.36,0.99,1.01,0.96,905726.67,0.14,6.07,Uptrend,Bear,,
XLK,0,Technology Select Sector SPDR Fund,135.34,206.78,18.38,mostly neutral,0.18,0.5,Neutral,Upward,0.05,52.79,44.55,45.28,1.0,1.02,0.96,7380980.0,0.07,5.88,Uptrend,Bear,,
FDN,0,First Trust Dow Jones Internet Index Fund,132.37,201.19,18.23,mixed,0.0,0.5,Neutral,Upward,0.05,51.99,45.47,43.76,1.0,1.02,0.97,431180.0,0.07,5.82,Uptrend,Bear,,
PRN,0,Invesco Dorsey Wright Industrials Momentum ETF,90.71,131.91,11.21,mixed,0.0,0.5,Neutral,Upward,0.09,45.42,42.32,44.31,1.0,1.03,0.96,8460.0,0.29,5.73,Uptrend,Bear,,
IXN,0,iShares Global Tech ETF,48.96,73.72,6.26,mixed,0.0,0.5,Neutral,Upward,0.16,50.57,43.21,43.46,0.99,1.02,0.96,147633.33,0.1,5.72,Uptrend,Bear,,
FTEC,0,Fidelity MSCI Information Technology Index ETF,102.5,154.3,13.2,mixed,0.0,0.5,Neutral,Upward,0.08,50.53,42.66,43.45,0.99,1.02,0.96,244106.67,0.08,5.67,Uptrend,Bear,,
CIBR,0,First Trust NASDAQ Cybersecurity ETF,39.68,57.41,5.42,mostly neutral,0.42,0.1,Overbought - Potential Reversal,Upward,0.18,44.68,45.37,41.52,0.99,1.01,0.95,991313.33,0.04,5.63,Uptrend,Bear,,
QQQ,0,Invesco QQQ Trust,288.7,437.39,37.4,mostly neutral,0.32,0.5,Neutral,Upward,0.03,51.51,41.85,43.65,1.0,1.02,0.97,45640926.67,0.1,5.63,Uptrend,Bear,,
HACK,0,Amplify Cybersecurity ETF,44.32,64.58,6.12,mostly neutral,1.12,0.1,Overbought - Potential Reversal,Upward,0.16,45.7,43.57,42.43,0.99,1.01,0.95,180773.33,0.04,5.6,Uptrend,Bear,,
VGT,0,Vanguard Information Technology Index Fund ETF Shares,346.98,519.26,43.72,mixed,0.0,0.5,Neutral,Upward,0.02,49.65,41.71,42.6,0.99,1.02,0.96,486753.33,0.08,5.55,Uptrend,Bear,,
PAVE,0,Global X U.S. Infrastructure Development ETF,27.39,38.01,2.93,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.34,38.8,40.48,41.62,0.98,1.01,0.95,1302433.33,0.34,5.47,Uptrend,Bear,,
AIRR,0,First Trust RBA American Industrial RenaissanceTM ETF,46.43,63.57,4.61,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.22,36.91,40.95,37.59,0.98,1.01,0.94,76246.67,0.32,5.17,Uptrend,Bear,,
AMZA,0,InfraCap MLP ETF,29.2,39.74,2.8,mostly neutral,3.75,0.5,Neutral,Upward,0.36,36.07,33.24,41.68,0.98,1.01,0.96,45533.33,0.26,5.16,Uptrend,Bear,,
AMJ,0,JPMorgan Alerian MLP Index ETN,20.6,27.89,2.03,mostly neutral,0.22,0.5,Neutral,Upward,0.49,35.38,34.29,40.08,0.98,1.01,0.96,430746.67,0.28,5.13,Uptrend,Bear,,
TDIV,0,First Trust NASDAQ Technology Dividend Index Fund,48.92,69.54,5.13,mixed,0.0,0.5,Neutral,Upward,0.19,42.15,37.77,38.29,0.98,1.02,0.95,76993.33,0.13,5.09,Uptrend,Bear,,
VOX,0,Vanguard Communication Services Index Fund ETF Shares,86.74,127.84,9.89,mixed,0.0,0.5,Neutral,Upward,0.1,47.38,36.51,39.3,1.0,1.01,0.99,159740.0,0.06,5.07,Uptrend,Bear,,
FCOM,0,Fidelity MSCI Communication Services Index ETF,32.94,48.33,3.69,mixed,0.0,0.5,Neutral,Upward,0.27,46.74,36.04,38.68,1.0,1.01,0.98,90293.33,0.06,5.05,Uptrend,Bear,,
PSP,0,Invesco Global Listed Private Equity ETF,46.36,65.06,5.32,mixed,0.0,0.5,Neutral,Upward,0.19,40.33,34.24,38.9,0.99,1.0,0.98,18120.0,0.15,4.96,Uptrend,Bear,,
ARKK,0,ARK Innovation ETF,36.67,50.65,4.98,mixed,0.0,0.5,Neutral,Upward,0.2,38.11,42.22,33.04,0.99,1.02,0.93,12213320.0,0.13,4.95,Uptrend,Bear,,
RSPT,0,Invesco S&P 500 Equal Weight Technology ETF,25.29,35.09,2.56,mixed,0.0,0.5,Neutral,Upward,0.39,38.76,36.85,35.08,0.98,1.02,0.95,558846.67,0.15,4.87,Uptrend,Bear,,
IYG,0,iShares U.S. Financial Services ETF,46.15,64.08,4.96,mostly neutral,1.84,0.1,Overbought - Potential Reversal,Upward,0.2,38.84,32.83,38.37,0.99,1.0,0.97,88966.67,0.26,4.81,Uptrend,Bull,,
IAK,0,iShares U.S. Insurance ETF,82.6,113.13,8.39,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.12,36.96,32.56,38.62,0.98,1.0,0.97,73160.0,0.28,4.8,Uptrend,Bull,,
FINX,0,Global X FinTech ETF,19.22,27.0,2.13,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.47,40.46,35.13,34.79,0.97,1.01,0.92,118900.0,0.21,4.73,Uptrend,Bear,,
IYT,0,iShares Transportation Average ETF,52.33,70.0,5.16,mixed,0.0,0.5,Neutral,Upward,0.19,33.75,33.18,36.08,1.0,1.01,0.98,456020.0,0.18,4.72,Uptrend,Bear,,
AMLP,0,Alerian MLP ETF,35.16,46.54,3.16,mixed,0.0,0.5,Neutral,Upward,0.32,32.36,31.16,36.94,0.99,1.01,0.96,1223900.0,0.25,4.71,Uptrend,Bear,,
ATMP,0,Barclays ETN+ Select MLP ETN,17.45,23.12,1.52,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.66,32.46,30.76,36.44,0.98,1.0,0.95,17700.0,0.26,4.68,Uptrend,Bull,,
KCE,0,SPDR S&P Capital Markets ETF,77.15,107.88,8.55,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.12,39.84,34.73,35.51,0.98,1.0,0.95,79780.0,0.23,4.68,Uptrend,Bear,,
GREK,0,Global X MSCI Greece ETF,29.27,39.76,3.3,mixed,0.0,0.5,Neutral,Downward,0.3,35.82,31.53,35.87,1.02,1.03,1.0,47286.67,0.1,4.65,Downtrend,Bear,,
